AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Posicion
0.00,0.00,0.00,0.00,0.00,0.00,0.00,Centro
0.48,-0.03,0.76,-10.38,-10.57,-5.32,38.24,Centro
0.48,-0.05,0.77,-3.16,2.28,-1.27,38.22,Centro
0.48,-0.04,0.77,-4.30,6.27,1.56,38.29,Centro
0.49,-0.04,0.77,4.74,-1.52,-1.95,38.29,Centro
0.48,-0.04,0.76,1.94,-3.38,-0.83,38.27,Centro
0.40,-0.01,0.67,-11.99,16.00,14.05,38.30,Centro
0.50,-0.07,0.76,-10.17,1.45,-5.71,38.34,Centro
0.49,-0.06,0.76,-1.21,-3.00,-3.71,38.31,Centro
0.36,0.13,0.85,-16.00,5.35,-16.00,38.32,Centro
0.48,0.09,0.84,16.00,16.00,-10.05,38.32,Centro
0.22,0.47,0.42,16.00,-0.25,-16.00,38.31,Centro
0.05,0.94,-0.04,16.00,8.19,-12.51,38.32,Arriba
0.04,0.95,-0.18,9.54,-7.82,-2.43,38.30,Arriba
0.04,0.94,-0.15,-11.15,-5.34,1.22,38.33,Arriba
0.06,0.94,-0.23,-2.05,2.99,-0.98,38.31,Arriba
-0.16,0.78,-0.56,16.00,3.35,-16.00,38.34,Arriba
-0.12,-0.29,-1.25,16.00,-9.41,-16.00,38.35,Centro
-0.10,-0.21,-1.01,-16.00,0.77,6.93,38.31,Centro
-0.06,-0.18,-1.11,-2.18,9.93,-0.83,38.31,Centro
-0.08,-0.17,-1.14,-16.00,1.52,1.33,38.30,Centro
-0.18,0.10,-0.96,-16.00,-5.41,16.00,38.29,Centro
0.02,0.99,-0.31,-16.00,-2.96,16.00,38.31,Arriba
0.06,0.86,-0.08,-0.06,16.00,-4.78,38.31,Arriba
0.04,0.95,-0.13,2.45,-8.31,-2.25,38.33,Arriba
0.05,0.95,-0.12,-16.00,-5.56,5.14,38.35,Arriba
0.06,0.96,-0.14,2.37,-16.00,1.76,38.32,Arriba
0.10,0.97,-0.05,-16.00,-16.00,3.48,38.31,Arriba
0.33,0.89,0.15,16.00,-16.00,-14.00,38.31,Arriba
-0.02,1.00,-0.29,16.00,-16.00,-9.17,38.31,Arriba
-0.02,0.86,-0.33,0.15,-16.00,16.00,38.33,Arriba
0.08,0.97,-0.24,-4.31,9.17,7.05,38.33,Arriba
0.31,0.90,-0.22,16.00,16.00,-16.00,38.33,Arriba
0.26,1.11,-0.30,-16.00,16.00,-16.00,38.32,Arriba
0.06,0.88,-0.36,-16.00,-16.00,-0.20,38.32,Arriba
0.09,0.90,-0.19,-16.00,-13.91,4.68,38.35,Arriba
0.07,0.78,0.44,-16.00,2.50,16.00,38.30,Arriba
0.13,-0.06,1.01,-16.00,-13.89,9.41,38.32,Centro
0.13,-0.03,0.89,-12.71,9.25,-0.64,38.31,Centro
0.10,-0.07,0.86,-16.00,-7.56,7.71,38.31,Centro
0.04,-0.26,0.83,-16.00,10.08,16.00,38.32,Centro
-0.03,-0.69,0.31,-16.00,16.00,16.00,38.31,Abajo
-0.23,-1.01,-0.11,-1.71,-1.91,-8.59,38.30,Abajo
-0.22,-0.98,-0.15,14.60,2.43,-0.25,38.31,Abajo
-0.17,-0.92,-0.04,16.00,8.12,-16.00,38.34,Abajo
0.08,-0.02,0.71,16.00,-16.00,-16.00,38.33,Centro
0.19,0.72,0.46,16.00,-16.00,-9.37,38.32,Arriba
0.21,0.83,0.34,16.00,3.71,-8.39,38.32,Arriba
0.13,0.84,-0.30,16.00,16.00,-16.00,38.27,Arriba
0.13,0.59,-0.72,16.00,-16.00,-16.00,38.30,Arriba
0.05,0.35,-1.06,16.00,-5.15,-16.00,38.31,Centro
0.01,-0.42,-1.07,16.00,-16.00,11.95,38.29,Centro
-0.08,-0.52,-1.07,5.51,-6.32,1.94,38.30,Abajo
-0.10,-0.50,-0.95,-16.00,4.69,10.83,38.32,Abajo
-0.11,-0.30,-1.09,-16.00,16.00,4.29,38.31,Centro
0.09,0.42,-0.84,-16.00,4.54,16.00,38.30,Centro
0.06,0.90,-0.31,-16.00,-5.26,-0.54,38.28,Arriba
0.11,0.96,-0.23,-16.00,-4.06,-4.05,38.29,Arriba
0.07,1.00,-0.19,15.96,16.00,-11.76,38.30,Arriba
0.05,1.01,-0.17,-13.01,8.95,15.95,38.32,Arriba
0.04,1.00,-0.17,-16.00,-5.41,5.66,38.30,Arriba
-0.01,0.94,-0.13,8.86,-6.73,-2.00,38.29,Arriba
0.01,0.94,-0.21,2.87,-8.62,-9.08,38.29,Arriba
0.03,0.94,-0.21,-1.08,5.40,-3.49,38.28,Arriba
0.02,0.94,-0.21,15.89,-5.94,-0.00,38.30,Arriba
0.02,0.94,-0.24,-1.25,4.80,0.88,38.33,Arriba
0.00,0.97,-0.21,-7.66,-5.37,0.97,38.29,Arriba
-0.00,0.97,-0.19,15.28,3.44,-5.17,38.30,Arriba
-0.01,0.89,-0.26,-8.38,16.00,2.58,38.30,Arriba
0.06,0.94,-0.21,9.16,16.00,6.39,38.29,Arriba
0.09,0.84,-0.13,7.16,16.00,-16.00,38.31,Arriba
0.09,0.87,-0.26,16.00,-16.00,-5.86,38.29,Arriba
0.13,0.91,-0.38,16.00,-16.00,16.00,38.31,Arriba
-0.01,0.93,-0.34,-16.00,15.89,-3.37,38.29,Arriba
0.12,1.00,-0.24,-16.00,16.00,4.54,38.29,Arriba
-0.03,0.91,-0.20,-11.61,6.95,3.68,38.25,Arriba
0.04,0.92,-0.20,-16.00,-12.01,-16.00,38.27,Arriba
-0.07,0.96,-0.46,16.00,12.75,-3.22,38.29,Arriba
0.00,0.98,-0.19,-4.18,-10.08,7.07,38.29,Arriba
0.07,0.98,-0.23,16.00,7.83,-5.51,38.29,Arriba
0.04,0.95,-0.19,7.33,4.99,-5.56,38.27,Arriba
-0.00,0.94,-0.17,-4.35,-6.17,-6.88,38.25,Arriba
0.04,0.92,-0.17,-8.93,-0.36,-0.73,38.29,Arriba
0.03,0.94,-0.17,8.73,13.47,-4.39,38.26,Arriba
0.02,0.94,-0.19,0.07,-1.03,-2.29,38.26,Arriba
0.02,0.96,-0.17,1.09,16.00,1.32,38.27,Arriba
0.02,0.94,-0.16,-1.65,3.71,-8.54,38.26,Arriba
0.02,0.94,-0.14,-3.24,5.79,-2.44,38.26,Arriba
0.01,0.95,-0.14,-14.33,-3.30,1.68,38.25,Arriba
0.01,0.95,-0.13,-1.88,3.93,-1.27,38.28,Arriba
0.00,0.96,-0.13,-5.33,-4.66,-5.12,38.29,Arriba
-0.02,0.96,-0.12,-3.79,-3.19,-0.78,38.27,Arriba
0.01,0.94,-0.15,-0.10,1.52,2.81,38.25,Arriba
0.00,0.96,-0.14,2.36,8.19,0.24,38.26,Arriba
0.02,0.94,-0.14,-2.18,-3.23,-0.54,38.25,Arriba
-0.01,0.95,-0.12,-0.23,12.15,-1.27,38.26,Arriba
0.02,0.95,-0.12,-16.00,12.38,8.34,38.29,Arriba
-0.22,0.44,0.99,-16.00,16.00,16.00,38.28,Centro
-0.08,0.40,0.76,-16.00,6.17,8.19,38.25,Centro
-0.12,0.33,0.80,-1.42,8.24,-0.73,38.26,Centro
-0.12,0.43,0.76,16.00,-16.00,-15.08,38.26,Centro
-0.10,0.70,0.58,16.00,16.00,16.00,38.25,Arriba
0.04,0.82,0.57,16.00,-16.00,15.22,38.23,Arriba
-0.12,0.94,0.23,16.00,-16.00,-16.00,38.25,Arriba
0.10,0.78,0.02,-16.00,-16.00,-0.54,38.25,Arriba
0.14,0.90,0.24,12.79,-16.00,-3.56,38.26,Arriba
0.28,0.88,0.07,-16.00,15.93,16.00,38.27,Arriba
0.51,0.89,0.03,16.00,-16.00,16.00,38.22,Arriba
0.43,0.46,0.16,-16.00,16.00,-16.00,38.26,Centro
0.51,0.73,-0.03,-16.00,-16.00,-16.00,38.22,Arriba
0.60,0.70,0.21,-16.00,16.00,-6.25,38.25,Arriba
0.39,0.49,0.24,-16.00,16.00,16.00,38.22,Centro
0.36,0.41,0.34,-16.00,16.00,1.46,38.26,Centro
0.35,0.35,0.75,-3.24,4.16,7.37,38.26,Centro
0.32,0.34,0.74,-1.08,-15.98,10.73,38.25,Centro
0.33,0.34,0.74,5.17,15.94,2.15,38.25,Centro
0.34,0.34,0.75,1.17,9.96,1.02,38.25,Centro
0.34,0.34,0.75,1.09,4.24,-0.39,38.24,Centro
0.34,0.35,0.74,0.20,10.23,-3.66,38.23,Centro
0.33,0.34,0.74,-4.98,5.18,1.11,38.23,Centro
0.33,0.34,0.75,1.94,5.03,4.12,38.23,Centro
0.34,0.36,0.75,-7.43,16.00,-3.76,38.21,Centro
0.34,0.34,0.75,3.85,-3.73,-2.15,38.23,Centro
0.33,0.35,0.75,-9.14,-0.74,3.02,38.23,Centro
